protocol,dataset,strict,variant,seed,mse,mae,n,apn_seed_mse,relative_mse_gain_vs_apn
release_parity,HumanActivity,false,APN,2024,0.042096661183516314,0.11552837616420278,5910,0.042096661183516314,0
release_parity,HumanActivity,false,APN,2025,0.04215093164895273,0.1163003111602766,5910,0.04215093164895273,0
release_parity,HumanActivity,false,APN,2026,0.042200669905678,0.11567316735631158,5910,0.042200669905678,0
release_parity,HumanActivity,false,APN,2027,0.04231951317177858,0.11706257358002524,5910,0.04231951317177858,0
release_parity,HumanActivity,false,APN,2028,0.042072677453041676,0.11560596874638306,5910,0.042072677453041676,0
release_parity,HumanActivity,false,SLRH,2024,0.042255984153802176,0.11607497361280432,5910,0.042096661183516314,-0.0037846937454566517
release_parity,HumanActivity,false,SLRH,2025,0.04225401967779339,0.11652659272987596,5910,0.04215093164895273,-0.002445688026523644
release_parity,HumanActivity,false,SLRH,2026,0.04234153647431572,0.11615830223292625,5910,0.042200669905678,-0.003338017357368145
release_parity,HumanActivity,false,SLRH,2027,0.04248288817442281,0.11765638063503185,5910,0.04231951317177858,-0.003860512335788908
release_parity,HumanActivity,false,SLRH,2028,0.0422400460103357,0.116244438825779,5910,0.042072677453041676,-0.00397808191505826
release_parity,HumanActivity,false,CFG,2024,0.04230173169028638,0.1161852884972017,5910,0.042096661183516314,-0.004871419751701449
release_parity,HumanActivity,false,CFG,2025,0.042247884787911937,0.11640797951420859,5910,0.04215093164895273,-0.0023001422546639707
release_parity,HumanActivity,false,CFG,2026,0.042413488539141876,0.116335409144697,5910,0.042200669905678,-0.005043015524150267
release_parity,HumanActivity,false,CFG,2027,0.04243199942054953,0.11743825392874854,5910,0.04231951317177858,-0.0026580232223929125
release_parity,HumanActivity,false,CFG,2028,0.042255020360426644,0.1162180224600876,5910,0.042072677453041676,-0.00433399817704697
release_parity,HumanActivity,false,Full,2024,0.042302786869781596,0.11621018347015764,5910,0.042096661183516314,-0.004896485385543932
release_parity,HumanActivity,false,Full,2025,0.04225511008142465,0.11642211206014959,5910,0.04215093164895273,-0.0024715570545286196
release_parity,HumanActivity,false,Full,2026,0.04241304097122069,0.11637981288107868,5910,0.042200669905678,-0.005032409817601454
release_parity,HumanActivity,false,Full,2027,0.042436108206048526,0.11743403487637571,5910,0.04231951317177858,-0.0027551128434931595
release_parity,HumanActivity,false,Full,2028,0.042264555091958166,0.11624962619336715,5910,0.042072677453041676,-0.004560623438587868
release_parity,P12,false,APN,2024,0.3129221012857466,0.36601372967017043,23580,0.3129221012857466,0
release_parity,P12,false,APN,2025,0.31201061148318127,0.3643630632488213,23580,0.31201061148318127,0
release_parity,P12,false,APN,2026,0.312060864643445,0.36562582287081863,23580,0.312060864643445,0
