protocol,dataset,reference,metric,full_point,reference_point,effect_full_minus_reference,effect_ci_low,effect_ci_high,relative_gain,relative_gain_ci_low,relative_gain_ci_high,relative_loss_full_vs_reference,relative_loss_ci_low,relative_loss_ci_high,p_full_not_better,holm_adjusted_p,holm_family,resamples
strict_p12,P12,APN,mse,0.2906771950376615,0.2930869067395576,-0.0024097117018961334,-0.004084346673246459,-0.0007108048087102649,0.008221833341867596,0.002428524928452924,0.013869535446946205,-0.008221833341867596,-0.013869535446946205,-0.002428524928452924,0.0029199416011679766,0.005839883202335953,primary,50000
strict_p12,P12,APN,mae,0.35394053406715775,0.357075253601015,-0.0031347195338572442,-0.0041169367671183565,-0.0021293611811432577,0.00877887644759579,0.005971221749790804,0.011530033090107831,-0.00877887644759579,-0.011530033090107831,-0.005971221749790804,0.00001999960000799984,,,50000
strict_p12,P12,CFG,mse,0.2906771950376615,0.29136792250480387,-0.0006907274671423824,-0.0021021580992914056,0.0007589184020505556,0.002370636620546293,-0.0026006191824307495,0.007171675952501071,-0.002370636620546293,-0.007171675952501071,0.0026006191824307495,0.16981660366792664,1,secondary,50000
strict_p12,P12,CFG,mae,0.35394053406715775,0.3552225170768355,-0.0012819830096777451,-0.0020189389049484266,-0.0005189941662694163,0.0036089576196557636,0.0014627146768845156,0.005683741271000837,-0.0036089576196557636,-0.005683741271000837,-0.0014627146768845156,0.0008199836003279934,,,50000
strict_p12,P12,SLRH,mse,0.2906771950376615,0.2925233208838633,-0.001846125846201807,-0.00254980097519657,-0.001172388877825188,0.006311038178507314,0.00401529082863415,0.008672501088007085,-0.006311038178507314,-0.008672501088007085,-0.00401529082863415,0.00001999960000799984,0.0003999920001599968,secondary,50000
strict_p12,P12,SLRH,mae,0.35394053406715775,0.3552270933115041,-0.0012865592443463414,-0.0017695813669168254,-0.000805035905389749,0.0036217936879553774,0.0022663577528127658,0.004982334939762654,-0.0036217936879553774,-0.004982334939762654,-0.0022663577528127658,0.00001999960000799984,,,50000
strict_p12,P12,V01,mse,0.2906771950376615,0.2932354402453217,-0.002558245207660237,-0.004201210581276179,-0.0009035496390655845,0.00872420197749631,0.0030980739121688724,0.01421275568589309,-0.00872420197749631,-0.01421275568589309,-0.0030980739121688724,0.0014399712005759885,0.024479510409791804,secondary,50000
strict_p12,P12,V01,mae,0.35394053406715775,0.3566906973758742,-0.002750163308716469,-0.003648405356275898,-0.0018247943688557999,0.007710218766424391,0.00512091003957719,0.01022926769295101,-0.007710218766424391,-0.01022926769295101,-0.00512091003957719,0.00001999960000799984,,,50000
strict_p12,P12,V02,mse,0.2906771950376615,0.2930239263930675,-0.0023467313554060287,-0.003907905747634471,-0.0007619926801503814,0.008008668043912842,0.0026105668039715737,0.013279049338786134,-0.008008668043912842,-0.013279049338786134,-0.0026105668039715737,0.002139957200855983,0.03423931521369573,secondary,50000
strict_p12,P12,V02,mae,0.35394053406715775,0.3562391884777624,-0.0022986544106046725,-0.0031779916974200586,-0.0013996130147284457,0.006452559080956254,0.003936981339026386,0.008924988741035934,-0.006452559080956254,-0.008924988741035934,-0.003936981339026386,0.00001999960000799984,,,50000
strict_p12,P12,V03,mse,0.2906771950376615,0.29305552866888834,-0.002378333631226859,-0.004050075339012006,-0.0006872375554661926,0.00811564157151269,0.0023585571948827747,0.01374726434831281,-0.00811564157151269,-0.01374726434831281,-0.0023585571948827747,0.0030799384012319755,0.04619907601847963,secondary,50000
strict_p12,P12,V03,mae,0.35394053406715775,0.35687121216825635,-0.002930678101098594,-0.0038985997702945586,-0.00196579395745029,0.008212144889167603,0.0055102878750953686,0.010936923777186913,-0.008212144889167603,-0.010936923777186913,-0.0055102878750953686,0.00001999960000799984,,,50000
strict_p12,P12,V07,mse,0.2906771950376615,0.2907175163103831,-0.000040321272721632884,-0.0002256046959030464,0.00014593240219414746,0.00013869571133300437,-0.0004947583573269667,0.0007836034334739936,-0.00013869571133300437,-0.0007836034334739936,0.0004947583573269667,0.33535329293414134,1,secondary,50000
strict_p12,P12,V07,mae,0.35394053406715775,0.3543695042432183,-0.000428970176060528,-0.0005681361095078566,-0.0002893272531400509,0.0012105166243822952,0.0008147937886204438,0.0016082170089935129,-0.0012105166243822952,-0.0016082170089935129,-0.0008147937886204438,0.00001999960000799984,,,50000
strict_p12,P12,V08,mse,0.2906771950376615,0.29020391458994804,0.00047328044771344224,-0.0003456274634820275,0.0014145061304516192,-0.0016308548021558478,-0.00483932472003534,0.0011892061041752814,0.0016308548021558478,-0.0011892061041752814,0.00483932472003534,0.876622467550649,1,secondary,50000
strict_p12,P12,V08,mae,0.35394053406715775,0.3544679125656965,-0.0005273784985387331,-0.0010913677557303145,-0.00009880234115864899,0.0014878032110762342,0.0002777490356383352,0.003087220747869631,-0.0014878032110762342,-0.003087220747869631,-0.0002777490356383352,0.009339813203735925,,,50000
strict_p12,P12,V10,mse,0.2906771950376615,0.29046290662111407,0.0002142884165474146,-0.000019473260311897443,0.0007596134939393666,-0.0007377479590773941,-0.0026042367067730353,0.0000677451000132249,0.0007377479590773941,-0.0000677451000132249,0.0026042367067730353,0.9189816203675927,1,secondary,50000
strict_p12,P12,V10,mae,0.35394053406715775,0.3541192022295594,-0.00017866816240164063,-0.0005300567858976104,-0.000037760277279894064,0.0005045424288678313,0.00010631054612224346,0.0015018041716391638,-0.0005045424288678313,-0.0015018041716391638,-0.00010631054612224346,0.007079858402831944,,,50000
