"dataset","seed","variant","n","mse","mae","mse_relative_gain_vs_apn","mae_relative_gain_vs_apn"
"beijing_air","2024","APN","406522","0.874618763429063","0.6093939653014532","0.0","0.0"
"beijing_air","2024","Joint","406522","0.8673537312707535","0.61097894146837","0.008306513034119997","-0.0026009055835213638"
"beijing_air","2024","Full","406522","0.867332913570695","0.6109349918339266","0.008330315061848004","-0.002528785351051425"
"beijing_air","2024","Safe","406522","0.8796666837243603","0.6086294834167624","-0.005771566431420086","0.0012544953317885788"
"beijing_air","2024","SafeNoBalance","406522","0.878818319627789","0.6057842628935965","-0.004801584843962291","0.00592342985554672"
"beijing_air","2024","SafeNoRobust","406522","0.8673580385907721","0.6104095719718777","0.008301588236941326","-0.001666584719003829"
"beijing_air","2024","SafeNoBound","406522","0.87949269864828","0.6085298880110969","-0.005572639672293379","0.001417928859746542"
"beijing_air","2024","SafeNoGate","406522","0.8796666837243603","0.6086294834167624","-0.005771566431420086","0.0012544953317885788"
"beijing_air","2025","APN","406522","0.8836060097569103","0.6090355973572678","0.0","0.0"
"beijing_air","2025","Joint","406522","0.8691957123315547","0.6094569931365648","0.016308509976431726","-0.0006919066490128507"
"beijing_air","2025","Full","406522","0.8691659419833142","0.6094092236786784","0.016342201857102237","-0.0006134720581718606"
"beijing_air","2025","Safe","406522","0.8868706612562431","0.6067369838374335","-0.003694691370683413","0.0037741858272463125"
"beijing_air","2025","SafeNoBalance","406522","0.8776844451740344","0.6048498983871133","0.006701589302799034","0.006872667194359469"
"beijing_air","2025","SafeNoRobust","406522","0.8657521412567286","0.6050708784889767","0.020205689303871375","0.006509831092788048"
"beijing_air","2025","SafeNoBound","406522","0.8839188133877504","0.60297909654162","-0.00035400803908761406","0.009944411856922993"
"beijing_air","2025","SafeNoGate","406522","0.8868706612562431","0.6067369838374335","-0.003694691370683413","0.0037741858272463125"
"beijing_air","2026","APN","406522","0.8770186420553686","0.6165660375849423","0.0","0.0"
"beijing_air","2026","Joint","406522","0.8733251149334472","0.6154084198469362","0.004211457938072209","0.0018775243322523658"
"beijing_air","2026","Full","406522","0.8732713994369806","0.6153309143313233","0.004272705776933095","0.0020032294650172257"
"beijing_air","2026","Safe","406522","0.8882587940488097","0.609063397922197","-0.012816320491316832","0.012168428368407693"
"beijing_air","2026","SafeNoBalance","406522","0.8839019812947138","0.6065224284815802","-0.007848566620218524","0.016289591854106025"
"beijing_air","2026","SafeNoRobust","406522","0.8685005629129516","0.6091191508514525","0.009712540570921193","0.01207800345711367"
"beijing_air","2026","SafeNoBound","406522","0.887769918262755","0.6088101428926062","-0.012258891307247268","0.012579179227444342"
"beijing_air","2026","SafeNoGate","406522","0.8882587940488097","0.609063397922197","-0.012816320491316832","0.012168428368407693"
"beijing_air","2027","APN","406522","0.8817176270120668","0.6114766855772219","0.0","0.0"
"beijing_air","2027","Joint","406522","0.8695991703939131","0.6125543666680232","0.013744146931960846","-0.0017624238441470558"
"beijing_air","2027","Full","406522","0.8695700907047232","0.6125089635348715","0.013777127659916124","-0.0016881722263460408"
"beijing_air","2027","Safe","406522","0.8860575546891235","0.6099666580541976","-0.004922128745189888","0.002469476856012718"
