"dataset","variant","seeds","pooled_n","pooled_mse","pooled_mae","seed_mean_mse","seed_std_mse","seed_mean_mae","seed_std_mae","pooled_mse_gain_vs_apn","pooled_mae_gain_vs_apn"
"beijing_air","APN","5","2032610","0.8862827865333313","0.6148189772764547","0.886282786533332","0.0161511174215305","0.614818977276455","0.00776263713188562","0","0"
"beijing_air","Joint","5","2032610","0.8742695994541546","0.6153540744596989","0.874269599454155","0.010077237822177","0.615354074459699","0.00760289381741963","0.013554575652051","-0.000870332899635878"
"beijing_air","Full","5","2032610","0.8742308337916023","0.6152966918612746","0.874230833791602","0.0100627902633041","0.615296691861274","0.00759158814088501","0.0135983152610578","-0.000777000389506546"
"beijing_air","Safe","5","2032610","0.8905690296028704","0.6123070805754013","0.890569029602871","0.0124212514266846","0.612307080575402","0.00837454501670087","-0.00483620254693729","0.00408558745564545"
"beijing_air","SafeNoBalance","5","2032610","0.8868464530356495","0.6106257894215104","0.88684645303565","0.0139882162586801","0.61062578942151","0.00908171538281862","-0.000635989450413417","0.00682019913165254"
"beijing_air","SafeNoRobust","5","2032610","0.8739401110462784","0.6128919429445521","0.873940111046279","0.0133396563579081","0.612891942944552","0.00951163239892382","0.0139263400740646","0.00313431172934691"
"beijing_air","SafeNoBound","5","2032610","0.8894944848929247","0.6110924276777332","0.889494484892925","0.0122894452413478","0.611092427677734","0.00929822471349563","-0.00362378510379956","0.00606121433536345"
"beijing_air","SafeNoGate","5","2032610","0.8905690296028704","0.6123070805754013","0.890569029602871","0.0124212514266846","0.612307080575402","0.00837454501670087","-0.00483620254693729","0.00408558745564545"
"intel_lab","APN","5","991665","434.9286857798218","18.42793398143812","434.928685779822","172.980358606692","18.4279339814381","4.03559023921617","0","0"
"intel_lab","Joint","5","991665","427.355941590014","17.85369052225656","427.355941590014","119.06817685493","17.8536905222566","2.72226267568731","0.0174114617807514","0.0311615756687634"
"intel_lab","Full","5","991665","445.48502785489586","18.241123585961166","445.485027854896","148.556154438093","18.2411235859612","3.2754083186014","-0.0242714321225942","0.010137348856639"
"intel_lab","Safe","5","991665","434.9286857798218","18.42793398143812","434.928685779822","172.980358606692","18.4279339814381","4.03559023921617","0","0"
"intel_lab","SafeNoBalance","5","991665","433.60399089315257","18.371287615294808","433.603990893152","172.24748760724","18.3712876152948","4.04397013590641","0.00304577492812204","0.00307394014979487"
"intel_lab","SafeNoRobust","5","991665","433.1194912324959","18.374156142046175","433.119491232496","173.211944335908","18.3741561420462","4.07006357374941","0.00415974987734387","0.0029182782750423"
"intel_lab","SafeNoBound","5","991665","437.3584110190394","18.40633660209143","437.35841101904","168.369666476575","18.4063366020914","4.0048344099558","-0.00558649111603462","0.00117199135662441"
"intel_lab","SafeNoGate","5","991665","433.27665757733797","18.384546345164622","433.276657577338","172.441635933555","18.3845463451646","4.04985376379897","0.00379838869335952","0.00235444930056728"
