comparison,metric,estimate,ci_low,ci_high,resamples,random_seed
full_minus_apn,mse,-0.0037933110648665125,-0.0056191735440162946,-0.0021298599452986514,10000,20260721
full_minus_apn,mae,-0.0023569008740307734,-0.003335000083980732,-0.0013100533815116728,10000,20260721
full_minus_slrh,mse,-0.001840617251697252,-0.0028602012945870454,-0.0008797660398565469,10000,20260721
full_minus_slrh,mae,-0.0001836876078292033,-0.0007974647074753179,0.0004266627210982079,10000,20260721
full_minus_cfg,mse,-0.0016554187267515113,-0.0027935966954635042,-0.0006171945012409882,10000,20260721
full_minus_cfg,mae,-0.0013948325571774523,-0.0020429904174723425,-0.0007393582233145115,10000,20260721
