seed,variant,sample_id,mse,mae,observed_targets
2024,apn,162629,0.38411295678346946,0.46997783679900496,29
2024,apn,161208,0.45073226367821917,0.5634388536214828,15
2024,apn,161151,0.09565832901915367,0.2123393247073347,11
2024,apn,159476,0.34185309682652587,0.49223046470433474,16
2024,apn,158995,0.28521201679315517,0.39632798097695093,28
2024,apn,156060,0.10934560801704724,0.21285708083046806,18
2024,apn,159946,0.3433370266119828,0.4355186165674873,23
2024,apn,155580,0.22449481730158863,0.3608090914785862,22
2024,apn,158016,0.13980662820316725,0.2600359455324136,26
2024,apn,155147,0.09780153582098591,0.23463573381304742,20
2024,apn,158621,0.13277348029342564,0.2999879453669895,22
2024,apn,162783,0.3129367700498551,0.47899523794651033,25
2024,apn,162121,0.379314180084683,0.4029695349080222,14
2024,apn,152949,0.24028940245753963,0.3643279014264836,17
2024,apn,162372,0.10888663843401115,0.26184875585816125,22
2024,apn,159599,0.06447701193511338,0.20154916495084763,22
2024,apn,153378,0.4115477647963936,0.4640273968023913,28
2024,apn,157847,0.21685677163795886,0.32238059104592715,27
2024,apn,160200,0.14936866544260685,0.31498348011690025,17
2024,apn,162836,0.13156793044181542,0.30720958709716795,10
2024,apn,156255,0.06102044470273594,0.18499856135424445,17
2024,apn,162987,0.06718923467470349,0.20499640671086722,29
2024,apn,161725,0.41317991353571415,0.5586740915712557,19
2024,apn,156011,0.4878051224778491,0.46984764662655915,11
2024,apn,156182,0.04596377105581968,0.16952689851705843,13
2024,apn,160912,0.09062820699455187,0.22199723979941122,27
2024,apn,157595,0.13554749169593883,0.326320093539026,9
2024,apn,154066,0.02604140875405471,0.11941949692037371,18
2024,apn,153255,0.1694078138043551,0.286794519983232,16
2024,apn,154222,0.012615966585664344,0.08493539903845106,14
2024,apn,154371,0.18783763298637154,0.2651616036891937,25
2024,apn,154506,0.10398569096790145,0.25272927082636776,17
2024,apn,152955,0.12335324695478074,0.2804708358119516,17
2024,apn,154285,3.9353281901556145,1.3595114071902477,38
2024,apn,159328,0.059237159174237546,0.18306695931260625,31
2024,apn,155656,0.08684063351988285,0.21150977782566438,22
2024,apn,153605,0.07521076541605806,0.22899714277850258,9
2024,apn,154054,0.6024830068828041,0.5498287339102138,22
2024,apn,159731,0.08476589071051421,0.23303394702573618,12
2024,apn,161716,1.2496717546290408,0.9060400048891704,15
2024,apn,161332,0.1930070490351155,0.34476363737332194,19
2024,apn,153803,0.04862342111947429,0.18190115359094408,9
2024,apn,159797,0.2397695243707858,0.35145449824631214,16
2024,apn,159786,0.12326149158668288,0.26687190362385343,14
2024,apn,162632,0.0343448247479644,0.152671112825996,19
2024,apn,152893,0.06862355349243016,0.21595182313638575,17
2024,apn,153027,0.4116369912362643,0.5132006462663412,16
2024,apn,157527,0.10823549602995626,0.24789611652493476,25
2024,apn,156594,0.09444372736054772,0.231962934668575,14
2024,apn,159127,0.05267591132500316,0.20243670046329498,13
2024,apn,159012,0.08898079452659372,0.22432867947377658,19
2024,apn,159733,0.6508466885657166,0.5599620696157217,24
2024,apn,158892,0.12792512743943285,0.2807761078640338,31
2024,apn,161543,0.2843906522321049,0.43231918290257454,16
2024,apn,161282,0.05183044342316572,0.16977587786757134,22
2024,apn,158623,0.08110845177553098,0.2181765201844667,19
2024,apn,159939,0.08171781111979423,0.22806615829467775,15
2024,apn,155192,0.12993321315896367,0.25724336318671703,16
2024,apn,155709,0.5026418380883498,0.5850717568475949,19
2024,apn,154070,0.34293965030836104,0.34166081508864526,23
2024,apn,157749,0.21725953831141584,0.3232178898418651,17
2024,apn,160239,0.22575844389696917,0.3298598875602086,9
2024,apn,155520,0.8413772819072907,0.6957954972198135,19
2024,apn,161781,1.2713714083698247,0.9273147476570947,14
2024,apn,157355,0.5057408892938232,0.4910021672646205,18
2024,apn,162489,0.05496930410458002,0.1553556850111043,27
2024,apn,162248,0.2750684135209988,0.3725210594780305,17
2024,apn,155278,0.375070929992944,0.39898366015404463,16
2024,apn,154863,0.05309131223359884,0.16145008578896522,20
2024,apn,156172,1.3183670300696253,0.751614797319616,31
2024,apn,158971,0.06873282154750389,0.18471036354700723,18
2024,apn,159407,0.21838683353398664,0.38006760329008105,20
2024,apn,160560,0.24155426444901554,0.3368326993215652,21
2024,apn,153203,0.2594983282365969,0.4129807693617685,14
2024,apn,162952,0.06413584896786646,0.19669378887523303,11
2024,apn,157719,0.17266046263612225,0.32167450785636903,20
2024,apn,157986,1.021697518688406,0.5384775807982997,19
2024,apn,155266,0.40630723818150516,0.5492478521431193,17
2024,apn,158451,0.060702993856359494,0.20320616421454094,17
2024,apn,153814,0.9971454791146008,0.7415515079853996,31
2024,apn,159281,0.09088732594241983,0.24471271743899897,19
2024,apn,160360,0.20706733397650046,0.3185555921359496,22
2024,apn,161884,0.2942199863071507,0.4189565727630487,26
2024,apn,160683,0.083219495213901,0.2576643166442712,12
2024,apn,157457,0.4146703590470098,0.4378284745746189,18
2024,apn,163037,0.4925026759291844,0.5008239788313706,30
2024,apn,160376,0.16545820988644014,0.3020336063844817,28
2024,apn,153680,0.6063609679520596,0.6008418381214142,10
2024,apn,154417,0.13455452947528102,0.27614433225244284,16
2024,apn,157500,0.4067556277137983,0.42743248536306266,17
2024,apn,157743,0.24449378371697522,0.35829846911570606,17
2024,apn,157542,0.6290790912035414,0.5525584168928234,19
2024,apn,157835,0.4525873717073792,0.5656680354946538,19
2024,apn,160022,0.14090620990173192,0.28355733342468736,20
2024,apn,154167,0.04040718522389852,0.16277384059503675,16
2024,apn,155623,0.23546191271529288,0.39804580493977193,19
2024,apn,157951,0.17432547560227768,0.3378420046397618,14
2024,apn,157877,0.12433856839263834,0.2613406289425312,33
2024,apn,157538,0.06967844597555647,0.20917323919442984,26
2024,apn,155845,0.08145464385840266,0.20755169043938318,18
2024,apn,161786,0.19428524144870393,0.3762641031952465,17
2024,apn,154864,0.5117318526061717,0.5419018138945103,25
2024,apn,161041,0.02156522923263872,0.12050364911556244,17
2024,apn,160727,0.26553854617709083,0.3999913963286773,23
2024,apn,153890,0.14820021321481494,0.26050176684345516,14
2024,apn,161174,0.11411273042777674,0.2880792418575805,23
2024,apn,156591,0.1775775088268953,0.3761448374328514,12
2024,apn,155330,0.0910807132579922,0.202538359691115,17
2024,apn,155867,0.06861478553764755,0.21942758187651634,16
2024,apn,160172,0.08611650675391921,0.25362218629855376,13
2024,apn,159958,0.17766712627445275,0.3948223705475147,13
2024,apn,156117,0.4424077339426731,0.5056226775050163,24
2024,apn,154246,0.06603702137209272,0.20411582042773566,18
2024,apn,155366,0.22690414650434618,0.332697793841362,17
2024,apn,161681,0.01951474602537928,0.09698299676753007,13
2024,apn,153271,0.1017844401350698,0.2385417102505603,31
2024,apn,158069,1.3702316220071225,0.7522735804319381,10
2024,apn,158066,0.5104638657742596,0.43514889052936007,14
2024,apn,153428,0.08482381443564709,0.21871002505605036,13
2024,apn,158779,0.25579810120958696,0.32508659693929887,27
2024,apn,162642,0.43619407059062115,0.5720512461331155,18
2024,apn,154223,0.2990212291249877,0.3963220857761123,22
2024,apn,161243,0.6746716598383001,0.5283372631030423,28
2024,apn,160141,1.1996699792380776,0.6600941890741095,17
2024,apn,155395,0.08211654889064927,0.21774391751540334,19
2024,apn,156075,0.4064892127609362,0.45947494927574606,17
2024,apn,158493,0.1036162094460451,0.24282878554529613,18
2024,apn,161265,0.5162233916958535,0.4004702969557709,18
2024,apn,159263,0.28281505645314553,0.3472462411349018,24
2024,apn,159242,0.1829445964994145,0.28711282971658203,19
2024,apn,159038,0.03514444377555934,0.1281782294574537,19
2024,apn,160532,0.4766000117369913,0.5247742035426199,16
2024,apn,161043,0.4217100100180947,0.39114378419305595,14
2024,apn,162240,0.4317583866003487,0.5102817532089021,18
2024,apn,160277,0.17841729226762254,0.3342907953262329,25
2024,apn,157982,0.16939326332580737,0.3489200227400836,17
2024,apn,154887,0.08104755575961328,0.18870512382299812,27
2024,apn,159976,0.12832086740806972,0.2896173011511564,20
2024,apn,157285,0.2781536182774289,0.39855426773428915,20
2024,apn,157852,0.45398342485107906,0.43625802993774415,15
2024,apn,158727,0.1922049846866035,0.33498911107225077,28
2024,apn,153501,0.22763101894994478,0.32769844979047774,20
2024,apn,157116,0.6564964194541616,0.5297183991858253,27
2024,apn,156710,0.09781877598450389,0.22959969117720094,36
2024,apn,161698,0.16393392397440038,0.26392084459463755,15
2024,apn,162711,0.07513039504527796,0.19379083346575499,16
2024,apn,153158,0.38831266537991643,0.49181417985395953,22
2024,apn,154753,0.3808857179498903,0.41119768071387497,28
2024,apn,160270,0.1474758748574039,0.3335350316304427,13
2024,apn,161977,0.4916342264946757,0.4384608277016216,18
2024,apn,160168,0.2401489949341769,0.3708941795759731,18
2024,apn,156222,0.06665548106068925,0.18116502578441912,13
2024,apn,162958,0.3798631479121468,0.4665541715092129,18
2024,apn,159272,0.16610272682750105,0.2970525694304499,29
2024,apn,157985,0.46784581240745654,0.5579286676186782,26
2024,apn,161784,0.03274349787357421,0.139060164136546,28
2024,apn,160671,0.10865374214740263,0.2732762379778756,9
2024,apn,153785,0.4024285126363937,0.4201966453539698,19
2024,apn,154914,0.36522153433179483,0.5064009753987193,16
2024,apn,158114,0.06668792093264049,0.2011343256423348,19
2024,apn,154208,0.2444898314362731,0.38959753075066733,17
2024,apn,157475,0.7899669893085957,0.7338152825832367,15
2024,apn,159501,0.9139954425098206,0.6644787686792287,22
2024,apn,153495,0.2593153648544103,0.386156499851495,20
2024,apn,156069,0.0776076570892816,0.2010335904710433,17
2024,apn,161431,0.1987028324131513,0.3165136011583464,14
2024,apn,159261,1.3807113547543395,0.6951496987603605,16
2024,apn,158592,0.09506881748166052,0.24456165805459024,20
2024,apn,162054,0.43597744355492035,0.45934333498107977,29
2024,apn,155904,0.3644338152377674,0.47595660841983295,23
2024,apn,160733,0.23267630136443154,0.320903195362342,19
2024,apn,155203,0.06630863940102115,0.1820113475301436,21
2024,apn,156092,0.402801671422291,0.3718728336195151,12
2024,apn,156450,0.27747518918409314,0.38510119481835253,43
2024,apn,158900,0.0996810713426576,0.2315641230119294,38
2024,apn,159710,0.20861011994757542,0.36312557521619293,19
2024,apn,155798,0.18983330712834015,0.26226822578388714,23
2024,apn,156319,0.05738351893378422,0.19500199953715006,15
2024,apn,159347,0.4524444347137914,0.5927140765330371,17
2024,apn,155518,0.301300940912661,0.36243297401815655,30
2024,apn,156996,0.12426074179838906,0.2580087455610434,30
2024,apn,161634,0.20240510498714523,0.3756229347165893,17
2024,apn,156587,0.25397153513936416,0.40059899345592215,27
2024,apn,160179,0.10144450089060947,0.24905593144266228,19
2024,apn,154802,0.39077665704789977,0.46556418798863886,20
2024,apn,158101,0.3875831834359459,0.4262198596868826,23
2024,apn,159697,0.037278710171762965,0.13540055005457893,29
2024,apn,156344,0.31640008212401116,0.4826981738993996,19
2024,apn,156522,0.11224971906509988,0.26628449176334673,18
2024,apn,155973,0.10281254586266186,0.2616976381104905,32
2024,apn,153778,0.9837845325679518,0.506033588051796,25
2024,apn,160795,0.027659361245036332,0.1239153469602267,18
2024,apn,156031,0.18014296171689542,0.30859385766088965,30
2024,apn,153852,0.33855023480330904,0.4579250926772753,15
2024,apn,160460,0.4542247232123995,0.47124413572447865,38
2024,apn,155109,0.355383069763775,0.4058440993539989,16
2024,apn,154510,0.17596801447373428,0.3133433653335822,19
2024,apn,158649,0.08118050726454171,0.23303620122811375,17
2024,apn,160109,0.2731419141824257,0.38216838240623474,14
2024,apn,161399,0.5843635600155039,0.478477843478322,20
2024,apn,160146,0.7457113549656545,0.5685000737508138,15
2024,apn,157900,0.1597092549172885,0.3194765451809634,23
2024,apn,159779,0.44417920678250467,0.5380252646772485,19
2024,apn,159873,0.5165577261628082,0.44285874183361346,13
2024,apn,160059,0.5915721889184877,0.44705423143588835,36
2024,apn,155165,0.24467416385526317,0.3321361885672169,28
2024,apn,160759,0.07497028918939912,0.18718184766016507,19
2024,apn,162220,0.1363416068556641,0.2743025079369545,15
2024,apn,160157,0.15851166068275163,0.27707518723148566,26
2024,apn,156174,0.22340494842949107,0.33873650431632996,26
2024,apn,159007,0.20557605599424278,0.3207568461075425,12
2024,apn,153858,0.18788480486061113,0.2680643666535616,12
2024,apn,158633,0.04102104443128295,0.1245692647420443,13
2024,apn,154152,0.0883909918610367,0.24104769663377243,22
2024,apn,160981,0.25982716226196945,0.33171878189135057,26
2024,apn,160667,0.11118154883040594,0.289468856418834,17
2024,apn,159448,0.09191106739242307,0.25368241288445215,11
2024,apn,153967,0.4543207009943823,0.5734823569655418,12
2024,apn,161249,0.39541813083633315,0.48970896618751186,24
2024,apn,162443,0.026173628873857525,0.12461729794740677,20
2024,apn,158382,0.10685694984044858,0.26296251080930233,16
2024,apn,159135,0.10268249071149123,0.24913199423324495,21
2024,apn,154004,0.3441342386389519,0.3310660257151252,19
2024,apn,157323,0.42173367080977187,0.3755347828070323,15
2024,apn,162422,0.15727181604764837,0.30750231941541034,15
2024,apn,161037,0.07164027345537333,0.18161482824122205,34
2024,apn,159306,0.5359709562671133,0.5080512140108191,23
2024,apn,154852,0.08973632743019166,0.2195933733601123,32
2024,apn,159887,0.12286316559162085,0.24037761986255646,19
2024,apn,153207,0.10317087438138864,0.2498753692668218,26
2024,apn,156068,3.1766076667505936,0.8957802628477415,12
