variant,metric,mean,std,relative_improvement_vs_apn,seed_2024,seed_2025,seed_2026
apn,mse,0.31233119240866647,0.0005123581631076012,0.0,0.3129221007817515,0.31201061137857933,0.3120608650656686
apn,mae,0.3653342052392667,0.0008631080500040409,0.0,0.36601372958894385,0.36436306322658985,0.3656258229022663
slrh,mse,0.31060389018617546,0.0004063784236391228,0.005530354522615024,0.3110725761169665,0.31034970920403543,0.3103893852375246
slrh,mae,0.3632165752558154,0.0003066280375651869,0.005796418602699369,0.36357005839844075,0.36305738373666363,0.3630222836323418
cfg,mse,0.3104856296418698,0.0008798704564252777,0.005908992798842332,0.3114711258384909,0.3102068206819234,0.30977894240519505
cfg,mae,0.3642854008818643,0.0006897277813685203,0.0028708079954230157,0.3649962957251423,0.36361899397131703,0.36424091294913347
full,mse,0.30905797284898906,0.0004936834850624359,0.010479963702743464,0.3096172831798175,0.30887372391395207,0.30868291145319754
full,mae,0.3629779952978542,0.000334827312202718,0.006449464374323668,0.3633258437149624,0.36295022319511233,0.36265791898348776
